Scanning Geometry: QFANLNRUHU
------------------------------------------------------------
PARAMETER NAME            | GROUP NAME      | VALUE
Right_Slew                | Chevron         | 0.0
Left_Slew                 | Chevron         | 0.0
Valley_Radius             | Chevron         | 0.0
Peak_Radius               | Chevron         | 0.0
XSecImagePreserveAR       | XSecCurve_Background | 1.0
XSecImageFlag             | XSecCurve_Background | 0.0
XSecLockImageFlag         | XSecCurve_Background | 0.0
XSecImageW                | XSecCurve_Background | 1.0
XSecImageH                | XSecCurve_Background | 1.0
XSecImageXOffset          | XSecCurve_Background | 0.0
XSecImageYOffset          | XSecCurve_Background | 0.0
XSecFlipImageFlag         | XSecCurve_Background | 0.0
Area                      | XSecCurve       | 0.08328562037668358
HWRatio                   | XSecCurve       | 0.03
Invert                    | XSecCurve       | 0.0
Chord                     | XSecCurve       | 1.9500000000000002
ThickChord                | XSecCurve       | 0.03
FitDegree                 | XSecCurve       | 7.0
IdealCl                   | XSecCurve       | 0.2
SharpTEFlag               | XSecCurve       | 1.0
CrvType                   | Chord           | 2.0
ConvType                  | Chord           | 2.0
SplitPt                   | Chord           | 0.5
r_0                       | Chord           | 0.2
crd_0                     | Chord           | 0.08
G1_0                      | Chord           | 0.0
r_1                       | Chord           | 0.33333333333333337
crd_1                     | Chord           | 0.15
G1_1                      | Chord           | 0.0
r_2                       | Chord           | 0.4666666666666667
crd_2                     | Chord           | 0.2
G1_2                      | Chord           | 0.0
r_3                       | Chord           | 0.6
crd_3                     | Chord           | 0.2
G1_3                      | Chord           | 0.0
r_4                       | Chord           | 0.7166666666666667
crd_4                     | Chord           | 0.2
G1_4                      | Chord           | 0.0
r_5                       | Chord           | 0.8333333333333333
crd_5                     | Chord           | 0.2
G1_5                      | Chord           | 0.0
r_6                       | Chord           | 0.95
crd_6                     | Chord           | 0.2
G1_6                      | Chord           | 0.0
r_7                       | Chord           | 0.9666666666666667
crd_7                     | Chord           | 0.2
G1_7                      | Chord           | 0.0
r_8                       | Chord           | 0.9833333333333333
crd_8                     | Chord           | 0.2
G1_8                      | Chord           | 0.0
r_9                       | Chord           | 1.0
crd_9                     | Chord           | 0.13
G1_9                      | Chord           | 0.0
CrvType                   | Twist           | 1.0
ConvType                  | Twist           | 2.0
SplitPt                   | Twist           | 0.5
r_0                       | Twist           | 0.2
tw_0                      | Twist           | 46.75
G1_0                      | Twist           | 0.0
r_1                       | Twist           | 0.75
tw_1                      | Twist           | 20.0
G1_1                      | Twist           | 0.0
r_2                       | Twist           | 1.0
tw_2                      | Twist           | 13.0
G1_2                      | Twist           | 0.0
CrvType                   | Rake            | 0.0
ConvType                  | Rake            | 2.0
SplitPt                   | Rake            | 0.5
r_0                       | Rake            | 0.2
rak_0                     | Rake            | 0.0
G1_0                      | Rake            | 0.0
r_1                       | Rake            | 1.0
rak_1                     | Rake            | 0.0
G1_1                      | Rake            | 0.0
CrvType                   | Skew            | 0.0
ConvType                  | Skew            | 2.0
SplitPt                   | Skew            | 0.5
r_0                       | Skew            | 0.2
skw_0                     | Skew            | 0.0
G1_0                      | Skew            | 0.0
r_1                       | Skew            | 1.0
skw_1                     | Skew            | 0.0
G1_1                      | Skew            | 0.0
CrvType                   | Sweep           | 0.0
ConvType                  | Sweep           | 2.0
SplitPt                   | Sweep           | 0.5
r_0                       | Sweep           | 0.2
sw_0                      | Sweep           | 0.0
G1_0                      | Sweep           | 0.0
r_1                       | Sweep           | 1.0
sw_1                      | Sweep           | 0.0
G1_1                      | Sweep           | 0.0
CrvType                   | Thick           | 2.0
ConvType                  | Thick           | 2.0
SplitPt                   | Thick           | 0.5
r_0                       | Thick           | 0.2
toc_0                     | Thick           | 0.5
G1_0                      | Thick           | 0.0
r_1                       | Thick           | 0.23333333333333334
toc_1                     | Thick           | 0.3
G1_1                      | Thick           | 0.0
r_2                       | Thick           | 0.26666666666666666
toc_2                     | Thick           | 0.225
G1_2                      | Thick           | 0.0
r_3                       | Thick           | 0.3
toc_3                     | Thick           | 0.2
G1_3                      | Thick           | 0.0
r_4                       | Thick           | 0.39999999999999997
toc_4                     | Thick           | 0.125
G1_4                      | Thick           | 0.0
r_5                       | Thick           | 0.5
toc_5                     | Thick           | 0.115
G1_5                      | Thick           | 0.0
r_6                       | Thick           | 0.6
toc_6                     | Thick           | 0.1
G1_6                      | Thick           | 0.0
r_7                       | Thick           | 0.7333333333333333
toc_7                     | Thick           | 0.075
G1_7                      | Thick           | 0.0
r_8                       | Thick           | 0.8666666666666667
toc_8                     | Thick           | 0.055
G1_8                      | Thick           | 0.0
r_9                       | Thick           | 1.0
toc_9                     | Thick           | 0.03
G1_9                      | Thick           | 0.0
CrvType                   | CLI             | 2.0
ConvType                  | CLI             | 2.0
SplitPt                   | CLI             | 0.5
r_0                       | CLI             | 0.2
cli_0                     | CLI             | 0.0
G1_0                      | CLI             | 0.0
r_1                       | CLI             | 0.26666666666666666
cli_1                     | CLI             | 0.7
G1_1                      | CLI             | 0.0
r_2                       | CLI             | 0.33333333333333337
cli_2                     | CLI             | 0.7
G1_2                      | CLI             | 0.0
r_3                       | CLI             | 0.4
cli_3                     | CLI             | 0.7
G1_3                      | CLI             | 0.0
r_4                       | CLI             | 0.4666666666666667
cli_4                     | CLI             | 0.7
G1_4                      | CLI             | 0.0
r_5                       | CLI             | 0.5333333333333333
cli_5                     | CLI             | 0.7
G1_5                      | CLI             | 0.0
r_6                       | CLI             | 0.6
cli_6                     | CLI             | 0.7
G1_6                      | CLI             | 0.0
r_7                       | CLI             | 0.7333333333333333
cli_7                     | CLI             | 0.7
G1_7                      | CLI             | 0.0
r_8                       | CLI             | 0.8666666666666667
cli_8                     | CLI             | 0.7
G1_8                      | CLI             | 0.0
r_9                       | CLI             | 1.0
cli_9                     | CLI             | 0.2
G1_9                      | CLI             | 0.0
CrvType                   | Axial           | 0.0
ConvType                  | Axial           | 2.0
SplitPt                   | Axial           | 0.5
r_0                       | Axial           | 0.2
ax_0                      | Axial           | 0.0
G1_0                      | Axial           | 0.0
r_1                       | Axial           | 1.0
ax_1                      | Axial           | 0.0
G1_1                      | Axial           | 0.0
CrvType                   | Tangential      | 0.0
ConvType                  | Tangential      | 2.0
SplitPt                   | Tangential      | 0.5
r_0                       | Tangential      | 0.2
tan_0                     | Tangential      | 0.0
G1_0                      | Tangential      | 0.0
r_1                       | Tangential      | 1.0
tan_1                     | Tangential      | 0.0
G1_1                      | Tangential      | 0.0
------------------------------------------------------------
